Entry ID,Jurisdiction ,Date announced,Date implemented,Intervention category,"Intervention 
type",Intervention summary,"Primary source (news release 
or specific resource)","Secondary 
source",Action,Level,"Indigenous 
population group"
NL233,N.L.,2021-04-01,2021-04-01,Travel,Travel — self-isolation,"Who: Department of Health and Community Services
What: Rotational workers returning from declared COVID-19 outbreak work sites in the last 14 days must self-isolate and physically distance from household members, and call 811 to arrange testing; these workers must now complete the full 14-day self-isolation period, regardless of test result
Effective until:",https://www.gov.nl.ca/releases/2021/health/0401n03/,Not applicable,Tightening,Provincial/territorial,No
NL234,N.L.,2021-04-07,2021-04-07,Closures/openings,Closures/openings — education,"Who: Department of Education and Early Childhood Development
What: Updated Newfoundland and Labrador
Public Health Guidance for K–12 Schools; students in grades 4 to 12 are required to wear a mask at all times except when eating and drinking; students in K–3 are recommended to wear a mask consistently
Effective until:",https://www.gov.nl.ca/education/files/Public-Health-Guidance-for-K-12-Schools.pdf,https://www.gov.nl.ca/releases/2021/education/0407n04/,Tightening,Provincial/territorial,No
NL235,N.L.,2021-04-07,2021-04-14,Closures/openings,Closures/openings — education,"Who: Department of Education
What: Announced that high school students who are currently attending online classes will move into a blended learning model; under this modified Scenario 2 approach, high school classes will be split into 2 groups, and students will alternate between in-class instruction and online attendance, with access 5 days each week 
Effective until:",https://www.gov.nl.ca/releases/2021/education/0407n04/,https://www.cbc.ca/news/canada/newfoundland-labrador/high-school-hybrid-model-nl-1.5978013,Easing,Provincial/territorial,No
NL236,N.L.,2021-04-13,2021-04-13,Travel,Travel — restrictions,"Who: Government of Newfoundland and Labrador, Premier
What: Announced delay of the reopening of the Atlantic bubble, which allowed residents to travel within the region, by at least 2 weeks
Effective until: ",https://www.gov.nl.ca/releases/2021/exec/0413n09/,https://www.cbc.ca/news/canada/newfoundland-labrador/covid-update-april-13-1.5985259,Not applicable,Provincial/territorial,No
NL237,N.L.,2021-04-14,2021-04-17,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: For all regions, formal gathering limits increased to a maximum of 100 people 
Effective until:",https://www.gov.nl.ca/releases/2021/health/0414n06/,https://www.cbc.ca/news/canada/newfoundland-labrador/covid-update-april-14-1.5986626,Easing,Provincial/territorial,No
NL238,N.L.,2021-04-14,2021-04-19,Case management,Case management — test criteria,"Who: Department of Health and Community Services
What: Announced that essential workers entering the province for more than 2 days are required to be tested upon arrival; repeat testing will be completed on days 7 to 9 and either day 11, 12 or 13
Effective until:",https://www.gov.nl.ca/releases/2021/health/0414n06/,https://www.cbc.ca/news/canada/newfoundland-labrador/covid-update-april-14-1.5986626,Not applicable,Provincial/territorial,No
NL239,N.L.,2021-04-14,2021-04-19,Travel,Travel — self-isolation,"Who: Department of Health and Community Services
What: Announced that before beginning work, essential workers must self-isolate until they receive their 1st negative test result; essential workers only staying in the province 2 days or less will not require an arrival test, but are still required to self-isolate when not working
Effective until:",https://www.gov.nl.ca/releases/2021/health/0414n06/,https://www.cbc.ca/news/canada/newfoundland-labrador/covid-update-april-14-1.5986626,Tightening,Provincial/territorial,No
NL240,N.L.,2021-04-13,2021-04-13,Travel,Travel — self-isolation,"Who: Government of Newfoundland and Labrador, Premier
What: Announced delay of the reopening of the Atlantic bubble, which allowed residents to travel without self-isolating for 14 days, by at least 2 weeks
Effective until: ",https://www.gov.nl.ca/releases/2021/exec/0413n09/,https://www.cbc.ca/news/canada/newfoundland-labrador/covid-update-april-13-1.5985259,Not applicable,Provincial/territorial,No
NL241,N.L.,2021-05-12,2021-05-15,Case management,Case management — test criteria,"Who: Department of Health and Community Services
What: New special measures order requiring all travellers age 5 and older to be tested according to their self-isolation arrangements
Effective until:",https://www.gov.nl.ca/releases/2021/health/0512n08/,https://www.cbc.ca/news/canada/newfoundland-labrador/nl-covid-19-may-15-21-1.6028281,Not applicable,Provincial/territorial,No
NL242,N.L.,2021-05-12,2021-05-13,Public information,Public information — phase and alert level changes,"Who: Department of Health and Community Services
What: South Branch down to Port aux Basques (including Codroy Valley and across to Rose Blanche-Harbour le Cou) entered Alert Level 4 of ""A Foundation for Living with COVID-19""
Effective until:",https://www.gov.nl.ca/releases/2021/health/0512n08/,https://www.gov.nl.ca/covid-19/files/Alert-4-SW-corner-May-12-2021.pdf,Tightening,Regional,No
NL244,N.L.,2021-05-12,2021-05-13,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: Regions of South Branch down to Port aux Basques under Alert Level 4 restrictions: performance spaces, arenas and businesses that hold a licence under the Liquor Control Act whose primary purpose is the consumption of beer, wine or spirits are ordered to close, and restaurants limited to takeout, delivery or drive-through only; personal care services may remain open; retail stores may remain open at 50% capacity
Effective until:",https://www.gov.nl.ca/releases/2021/health/0512n08/,https://www.gov.nl.ca/covid-19/files/Alert-4-SW-corner-May-12-2021.pdf,Tightening,Regional,No
NL246,N.L.,2021-05-12,2021-05-13,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Regions of South Branch down to Port aux Basques under Alert Level 4 restrictions: gyms and fitness facilities, dance studios, bingo halls and cinemas ordered to close
Effective until:",https://www.gov.nl.ca/releases/2021/health/0512n08/,https://www.gov.nl.ca/covid-19/files/Alert-4-SW-corner-May-12-2021.pdf,Tightening,Regional,No
NL248,N.L.,2021-05-11,2021-05-12,State of emergency,State of emergency,"Who: Government of Newfoundland and Labrador, Chief Medical Officer of Health
What: Extended the public health state of emergency
Effective until: 2021-05-26",https://www.gov.nl.ca/covid-19/files/Declaration-of-Public-Health-Emergency-May-12-2021-Extension-28.pdf,Not applicable,Not applicable,Provincial/territorial,No
NL249,N.L.,2021-04-23,2021-04-27,State of emergency,State of emergency,"Who: Government of Newfoundland and Labrador, Chief Medical Officer of Health
What: Extended the public health state of emergency
Effective until: 2021-05-11",https://www.gov.nl.ca/covid-19/files/Declaration-of-Public-Health-Emergency-April-27-2021-Extension-27.pdf,Not applicable,Not applicable,Provincial/territorial,No
NL250,N.L.,2021-04-09,2021-04-12,State of emergency,State of emergency,"Who: Government of Newfoundland and Labrador, Chief Medical Officer of Health
What: Extended the public health state of emergency
Effective until: 2021-04-26",https://www.gov.nl.ca/covid-19/files/Declaration-of-Public-Health-Emergency-April-12-2021-Extension-26.pdf,Not applicable,Not applicable,Provincial/territorial,No
NL251,N.L.,2021-03-25,2021-03-28,State of emergency,State of emergency,"Who: Government of Newfoundland and Labrador, Chief Medical Officer of Health
What: Extended the public health state of emergency
Effective until: 2021-04-11",https://www.gov.nl.ca/covid-19/files/Declaration-of-Public-Health-Emergency-March-28-2021-extension-25.pdf,Not applicable,Not applicable,Provincial/territorial,No
NL252,N.L.,2021-03-08,2021-03-09,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 85 and older may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/update-central-health-rolls-out-covid-19-immunizations-for-residents-85-across-central-nl,http://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1887,Not applicable,Provincial/territorial,No
NL253,N.L.,2021-04-12,2021-04-12,Vaccine,Vaccine — population to be vaccinated,"Who: Eastern Health Authority
What: Announced people 70 and older may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1904,https://www.centralhealth.nl.ca/post/covid-19-vaccination-clinics-open-to-all-residents-ages-70-and-over,Not applicable,Provincial/territorial,No
NL254,N.L.,2021-04-15,2021-04-15,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 65 and older may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-clinics-open-to-residents-ages-65-69,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1906,Not applicable,Provincial/territorial,No
NL255,N.L.,2021-05-03,2021-05-03,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 60 and older and those who are pregnant may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-available-for-individuals-aged-60-64-and-individuals-who-are-pregnant,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1918,Not applicable,Provincial/territorial,No
NL256,N.L.,2021-05-07,2021-05-07,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 55 and older may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-available-for-individuals-aged-55-and-older,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1920,Not applicable,Provincial/territorial,No
NL257,N.L.,2021-05-10,2021-05-10,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 50 and older and households of rotational workers (including children 12 and older) may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-for-individuals-aged-50-and-up-and-household-members-of-rotational-workers,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1922,Not applicable,Provincial/territorial,No
NL258,N.L.,2021-03-31,2021-03-31,Vaccine,Vaccine — population to be vaccinated,"Who: Eastern Health Authority
What: Announced people 55 to 64 may begin booking appointments for the AstraZeneca vaccine only; followed shortly by other health authorities
Effective until:",https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1898,https://www.centralhealth.nl.ca/post/covid-19-vaccination-clinics-for-70-residents-and-astrazeneca-covishield-ages-55-to-64,Not applicable,Provincial/territorial,No
NL259,N.L.,2021-05-12,2021-05-12,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 40 and older and clinically extremely vulnerable children 12 and older may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-available-for-people-aged-40-and-older-and-clinically-vulnerable-aged-12-and-up,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1924,Not applicable,Provincial/territorial,No
NL260,N.L.,2021-05-14,2021-05-14,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 30 and older may begin booking appointments for the COVID-19 vaccine; followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-available-for-individuals-aged-30-and-older,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1925,Not applicable,Provincial/territorial,No
NL261,N.L.,2021-05-17,2021-05-17,Vaccine,Vaccine — population to be vaccinated,"Who: Central Health Authority
What: Announced people 12 and older may begin booking appointments for the COVID-19 vaccine (children 12 to 17 only eligible for the Pfizer vaccine); followed shortly by other health authorities
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-available-for-individuals-aged-12-years-of-age-and-over,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1926,Not applicable,Provincial/territorial,No
NL262,N.L.,2021-05-21,2021-05-22,Public information,Public information — phase and alert level changes,"Who: Department of Health and Community Services
What: Lewisporte to Summerford area entered Alert Level 4 of ""A Foundation for Living with COVID-19""
Effective until:",https://www.gov.nl.ca/releases/2021/health/0521n06/,https://www.cbc.ca/news/canada/newfoundland-labrador/covid19-newfoundland-labrador-may-21-1.6035710,Tightening,Regional,No
NL263,N.L.,2021-05-21,2021-05-22,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: Regions of Lewisporte to Summerford under Alert Level 4 restrictions: performance spaces, arenas and businesses that hold a licence under the Liquor Control Act whose primary purpose is the consumption of beer, wine or spirits are ordered to close, and restaurants limited to takeout, delivery or drive-through only; personal care services may remain open; retail stores may remain open at 50% capacity; funerals and religious ceremonies limited to 10 people with distancing; all other gatherings limited to those individuals within same household 
Effective until:",https://www.gov.nl.ca/covid-19/alert-system/alert-level-4/,Not applicable,Tightening,Regional,No
NL264,N.L.,2021-05-21,2021-05-22,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Regions of Lewisporte to Summerford under Alert Level 4 restrictions: gyms and fitness facilities, dance studios, bingo halls and cinemas ordered to close
Effective until:",https://www.gov.nl.ca/covid-19/alert-system/alert-level-4/,Not applicable,Tightening,Regional,No
NL265,N.L.,2021-05-24,2021-05-24,Public information,Public information — phase and alert level changes,"Who: Department of Health and Community Services
What: All communities along the Trans-Canada Highway Route 1 from Gambo to Badger entered Alert Level 4 of ""A Foundation for Living with COVID-19""
Effective until:",https://www.gov.nl.ca/releases/2021/health/0524n01/,https://www.cbc.ca/news/canada/newfoundland-labrador/covid-update-may-24-1.6038478,Tightening,Regional,No
NL266,N.L.,2021-05-24,2021-05-24,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: Communities along the Trans-Canada Highway Route 1 from Gambo to Badger under Alert Level 4 restrictions: performance spaces, arenas and businesses that hold a licence under the Liquor Control Act whose primary purpose is the consumption of beer, wine or spirits are ordered to close, and restaurants limited to takeout, delivery or drive-through only; personal care services may remain open; retail stores may remain open at 50% capacity; funerals and religious ceremonies limited to 10 people with distancing; all other gatherings limited to those individuals within same household 
Effective until:",https://www.gov.nl.ca/covid-19/alert-system/alert-level-4/,Not applicable,Tightening,Regional,No
NL267,N.L.,2021-05-24,2021-05-24,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Communities along the Trans-Canada Highway Route 1 from Gambo to Badger under Alert Level 4 restrictions: gyms and fitness facilities, dance studios, bingo halls and cinemas ordered to close
Effective until:",https://www.gov.nl.ca/covid-19/alert-system/alert-level-4/,Not applicable,Tightening,Regional,No
NL268,N.L.,2021-05-24,2021-05-24,Health services,Health services — delayed medical procedures ,"Who: Central Health Authority
What: Announced reduction in elective and non-urgent services and procedures for facilities between Gambo and Badger under Alert Level 4.
Effective until:",https://www.centralhealth.nl.ca/post/central-health-to-reduce-elective-and-non-urgent-services-and-procedures-under-alert-level-4,Not applicable,Tightening,Regional,No
NL269,N.L.,2021-03-24,2021-03-27,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: For the entire province in Alert Level 2, permitted households to have a maximum of 20 close consistent contacts, and formal gatherings (i.e., weddings, funerals) increased to 20
Effective until:",https://www.gov.nl.ca/releases/2021/health/0324n02/,Not applicable,Easing,Provincial/territorial,No
NL270,N.L.,2021-03-24,2021-03-27,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: For the entire province in Alert Level 2, permitted gyms, fitness facilities, group activities, team sports, arenas and other recreational facilities to open with a maximum of 50 people per room
Effective until:",https://www.gov.nl.ca/releases/2021/health/0324n02/,Not applicable,Easing,Provincial/territorial,No
NL271,N.L.,2021-03-24,2021-03-27,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: For the entire province in Alert Level 2, permitted restaurants, bars and lounges to open for in-person dining reduced at 50% of normal capacity
Effective until:",https://www.gov.nl.ca/releases/2021/health/0324n02/,Not applicable,Easing,Provincial/territorial,No
NL272,N.L.,2021-05-12,2021-05-13,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: For South Branch down to Port aux Basques (including Codroy Valley and across to Rose Blanche-Harbour le Cou) in Alert Level 4, funerals and religious ceremonies limited to 10 people with distancing; all other gatherings limited to those individuals within same household
Effective until:",https://www.gov.nl.ca/releases/2021/health/0512n08/,https://www.gov.nl.ca/covid-19/files/Alert-4-SW-corner-May-12-2021.pdf,Tightening,Regional,No
NL275,N.L.,2021-05-21,2021-05-22,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: For Lewisporte to Summerford area in Alert Level 4, limited gatherings at funerals, burials, weddings and religious and cultural ceremonies to 10 people including the officiant
Effective until:",https://www.gov.nl.ca/releases/2021/health/0521n06/,https://www.gov.nl.ca/covid-19/alert-system/alert-level-4/,Tightening,Regional,No
NL276,N.L.,2021-05-24,2021-05-24,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: For all communities along the Trans-Canada Highway Route 1 from Gambo to Badger at Alert Level 4, limited gatherings at funerals, burials, weddings and religious and cultural ceremonies to 10 people including the officiant
Effective until:",https://www.gov.nl.ca/releases/2021/health/0524n01/,https://www.gov.nl.ca/covid-19/alert-system/alert-level-4/,Tightening,Regional,No
NL277,N.L.,2021-05-05,2021-05-05,Vaccine,Vaccine — phase changes and milestones,"Who: Premier
What: Announced the beginning of the vaccination of school workers, including teachers
Effective until:",https://ici.radio-canada.ca/nouvelle/1790609/troisieme-phase-vaccination-tnl-24-mai,Not applicable,Not applicable,Provincial/territorial,No
NL278,N.L.,2021-05-18,2021-05-18,Vaccine,Vaccine — implementation plans and frameworks,"Who: Chief Medical Officer
What: Announced pause of the use of AstraZeneca’s COVID-19 vaccine as the 1st dose
Effective until:",Not applicable,https://www.cbc.ca/news/canada/newfoundland-labrador/astra-zeneca-first-dose-newfoundland-labrador-1.6031431,Not applicable,Provincial/territorial,No
NL279,N.L.,2021-05-17,2021-05-17,Vaccine,Vaccine — phase changes and milestones,"Who: Central Health Authority
What: Administered 1st vaccines to general population age 18 and older; administered 1st vaccines to children 12 to 17 
Effective until:",https://www.centralhealth.nl.ca/post/covid-19-vaccination-available-for-individuals-aged-12-years-of-age-and-over,https://www.easternhealth.ca/viewNewsPDF.aspx?d=&id=&p=&nid=1926,Not applicable,Provincial/territorial,No
NL280,N.L.,2021-05-30,2021-05-30,Public information,Public information — phase and alert level changes,"Who: Department of Health and Community Services
What: Announced that communities in the St. George’s, Stephenville, Port au Port area on the west side of the Trans-Canada Highway will move to Alert Level 4
Effective until:",https://www.gov.nl.ca/releases/2021/health/0530n02/,Not applicable,Tightening,Regional,No
NL281,N.L.,2021-05-30,2021-05-30,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: Communities in the St. George’s, Stephenville, Port au Port area on the west side of the Trans-Canada Highway under Alert Level 4 restrictions; performance spaces, arenas and businesses that hold a licence under the Liquor Control Act whose primary purpose is the consumption of beer, wine or spirits are ordered to close, and restaurants limited to takeout, delivery or drive-through only; personal care services may remain open, and retail stores may remain open at 50% capacity; funerals and religious ceremonies limited to 10 people with distancing; all other gatherings limited to those individuals within same household
Effective until:",https://www.gov.nl.ca/releases/2021/health/0530n02/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-4/,Tightening,Regional,No
NL282,N.L.,2021-05-30,2021-05-30,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Communities in the St. George’s, Stephenville, Port au Port area on the west side of the Trans-Canada Highway under Alert Level 4 restrictions; gyms and fitness facilities, dance studios, bingo halls and cinemas ordered to close
Effective until:",https://www.gov.nl.ca/releases/2021/health/0530n02/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-4/,Tightening,Regional,No
NL284,N.L.,2021-05-30,2021-05-30,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: Communities in the St. George’s, Stephenville, Port au Port area on the west side of the Trans-Canada Highway in Alert Level 4, limited funerals and religious ceremonies limited to 10 people with distancing; all other gatherings limited to those individuals within same household
Effective until:",https://www.gov.nl.ca/releases/2021/health/0530n02/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-4/,Tightening,Regional,No
NL285,N.L.,2021-06-01,2021-06-01,Public information,Public information — phase and alert level changes,"Who: Department of Health and Community Services
What: Announced that communities in the Lewisporte to Summerford area will move to Alert Level 3
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,Not applicable,Easing,Regional,No
NL286,N.L.,2021-06-01,2021-06-01,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: Communities in the Lewisporte to Summerford area under Alert Level 3, permitted restaurants to resume in-person dining at 50% capacity, with distancing
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-3/,Easing,Regional,No
NL287,N.L.,2021-06-01,2021-06-01,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Communities in the Lewisporte to Summerford area under Alert Level 3, permitted gym and fitness facilities, yoga studios, swimming pools, tennis and squash facilities and dance studios to open with a maximum of 20 people per room and distancing between households 
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-3/,Easing,Regional,No
NL288,N.L.,2021-06-01,2021-06-01,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: Communities in the Lewisporte to Summerford area under Alert Level 3, permitted gatherings up to a maximum of 20 people for funerals, burials, weddings and religious and cultural ceremonies, with distancing; all other informal gatherings limited to 10 consistent contacts from outside each household
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-3/,Easing,Regional,No
NL289,N.L.,2021-06-01,2021-06-01,Public information,Public information — phase and alert level changes,"Who: Department of Health and Community Services
What: Announced that communities along the Trans-Canada Highway Route 1 from Gambo to Badger will move to Alert Level 2
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,Not applicable,Easing,Regional,No
NL290,N.L.,2021-06-01,2021-06-01,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: Communities along the Trans-Canada Highway Route 1 from Gambo to Badger under Alert Level 2, each household bubble can interact with up to 20 close, consistent contacts from outside their household (steady 20), informal gatherings limited to only those in steady 20, and formal gatherings run by a recognized business or organization are limited to no more than 100 people (with distancing)
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-2/,Easing,Regional,No
NL291,N.L.,2021-06-01,2021-06-01,Health services,Health services — visitors/patients/residents,"Who: Department of Health and Community Services
What: Communities along the Trans-Canada Highway Route 1 from Gambo to Badger under Alert Level 2, public visitations are permitted, with 1 household bubble visiting at a time
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-2/,Easing,Regional,No
NL292,N.L.,2021-06-01,2021-06-01,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Communities along the Trans-Canada Highway Route 1 from Gambo to Badger under Alert Level 2, 1) gym and fitness facilities, yoga studios, swimming pools, tennis and squash facilities, arenas and dance studios are permitted to open, in accordance with guidelines, 2) group and team sport, arts and recreation activities are permitted, in accordance with guidelines, 3) performance spaces can open with a maximum capacity of 50 people (with distancing) and 4) cinemas and bingo halls are permitted to open with a maximum capacity of 50 people per room
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-2/,Easing,Regional,No
NL293,N.L.,2021-06-01,2021-06-01,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: Communities along the Trans-Canada Highway Route 1 from Gambo to Badger under Alert Level 2, 1) retail stores, including those in shopping malls, can open at reduced capacity (with distancing), 2) personal service establishments, including spas, esthetic services, hair salons, body piercing, tattooing and tanning salons, can open in accordance with guidelines, 3) restaurants can open for in-person dining at 50% capacity as long as physical distancing can be maintained between patrons seated at adjacent tables and 4) bars and lounges are permitted to open at 50% capacity
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-2/,Easing,Regional,No
NL294,N.L.,2021-06-01,2021-06-01,Public information,Public information — phase and alert level changes,"Who: Department of Health and Community Services
What: Announced that towns and communities along highway Route 403, which includes Flat Bay, St. Theresa’s and Journois, will move to Alert Level 4
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,Not applicable,Tightening,Regional,No
NL295,N.L.,2021-06-01,2021-06-01,Closures/openings,Closures/openings — non-essential services,"Who: Department of Health and Community Services
What: Towns and communities along highway Route 403 under Alert Level 4 restrictions; performance spaces, arenas and businesses that hold a licence under the Liquor Control Act whose primary purpose is the consumption of beer, wine or spirits are ordered to close and restaurants limited to takeout, delivery or drive-through only; personal care services may remain open, retail stores may remain open at 50% capacity; funerals and religious ceremonies limited to 10 people with distancing; all other gatherings limited to those individuals within same household 
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-4/,Tightening,Regional,No
NL296,N.L.,2021-06-01,2021-06-01,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Towns and communities along highway Route 403 under Alert Level 4 restrictions; gyms and fitness facilities, dance studios, bingo halls and cinemas ordered to close
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-4/,Tightening,Regional,No
NL298,N.L.,2021-06-01,2021-06-01,Distancing,Distancing — gatherings,"Who: Department of Health and Community Services
What: Towns and communities along highway Route 403 in Alert Level 4; limited funerals and religious ceremonies to 10 people with distancing; all other gatherings limited to those individuals within same household
Effective until:",https://www.gov.nl.ca/releases/2021/health/0601n06/,https://www.gov.nl.ca/covid-19/alert-levels/alert-level-4/,Tightening,Regional,No
NL299,N.L.,2021-06-02,No data,Public information,Public information — pandemic response plans,"Who: Department of Health and Community Services
What: Announced the province's reopening plan, Together. Again., which provides Newfoundlanders and Labradorians with an overview of the phased approach that will be taken as the province starts to lift long-term public health measures
Effective until:",https://www.gov.nl.ca/releases/2021/health/0602n08/,https://www.gov.nl.ca/covid-19/files/Together-Again-Plan-Reopening-Newfoundland-and-Labrador.pdf,Not applicable,Provincial/territorial,No
NL301,N.L.,2021-06-02,2021-06-15,Closures/openings,Closures/openings — recreation,"Who: Department of Health and Community Services
What: Announced that under the Transition phase of the Together. Again. reopening plan, outdoor sports tournaments are permitted as part of Return to Play plans
Effective until:",https://www.gov.nl.ca/covid-19/files/Together-Again-Plan-Reopening-Newfoundland-and-Labrador.pdf,https://sportnl.ca/wp-content/uploads/2021/06/Approved-Return-to-Athletics-Plan-June-15-20211.pdf,Easing,Provincial/territorial,No
NL302,N.L.,2021-06-02,2021-06-15,Distancing,Distancing — work from home,"Who: Department of Health and Community Services
What: Announced that under the Transition phase of the Together. Again. reopening plan, offices and workplaces to gradually return to working in-person
Effective until:",https://www.gov.nl.ca/covid-19/files/Together-Again-Plan-Reopening-Newfoundland-and-Labrador.pdf,Not applicable,Easing,Provincial/territorial,No
NL303,N.L.,2021-06-02,No data,Travel,Travel — restrictions,"Who: Department of Health and Community Services
What: Announced that under Step 1 of the Together. Again. reopening plan, non-essential travel within Canada will be permitted
Effective until:",https://www.gov.nl.ca/covid-19/files/Together-Again-Plan-Reopening-Newfoundland-and-Labrador.pdf,Not applicable,Not applicable,Provincial/territorial,No
NL304,N.L.,2021-06-02,No data,Travel,Travel — self-isolation,"Who: Department of Health and Community Services
What: Announced that under Step 1 of the Together. Again. reopening plan, 1) partially vaccinated Canadians must present a negative COVID-19 test result administered within 3 days of their departure date, or self-isolate following arrival until receipt of a negative test result; 2) unvaccinated Canadians must self-isolate for 14 days upon arrival; 3) mixed groups of vaccinated and unvaccinated adult travellers follow the rules for unvaccinated travellers; 4) vaccinated adults travelling with unvaccinated children under the age of 12 years follow the rules applicable to the adults' vaccination status; 5) Newfoundlanders and Labradorians returning home from out-of-province travel will be required to follow the rules above according to their vaccination status; 6) fully and partially vaccinated rotational workers from non-outbreak sites and essential workers to follow the rules above for Canadian travellers; 7) fully and partially vaccinated rotational workers coming from an outbreak site will be tested upon arrival and must self-isolate until receipt of a negative test result; 8) unvaccinated workers to follow current testing and isolation protocols
Effective until:",https://www.gov.nl.ca/covid-19/files/Together-Again-Plan-Reopening-Newfoundland-and-Labrador.pdf,Not applicable,Not applicable,Provincial/territorial,No
