"","Entry.ID","Jurisdiction","Date.announced","Date.implemented","Intervention.category","Intervention..type","Intervention.summary","Primary.source..news.release..or.specific.resource.","Secondary..source","Action","Level","Indigenous..population.group","Date"
"62","CAN283","Can.","2021-03-26",2021-03-26,"Financial and economic","Financial and economic — research and development","Who: Canadian Institutes of Health Research
What: $14.3 million allocated to support new research on the COVID-19 virus variants 
Effective until: ","https://www.canada.ca/en/institutes-health-research/news/2021/03/government-of-canada-invests-in-new-research-to-address-covid-19-variants.html","Not applicable","Not applicable","Federal","No",2021-03-26
"63","CAN284","Can.","2021-03-26",2021-03-26,"Vaccine","Vaccine — regulatory approval","Who: Health Canada, National Advisory Committee on Immunization
What: Issued additional terms and condition for the authorization of the AstraZeneca and Verity Pharmaceuticals/Serum Institute of India vaccines
Effective until: ","https://www.canada.ca/en/health-canada/news/2021/03/health-canada-taking-further-action-to-confirm-the-benefit-risk-profile-of-the-astrazeneca-vaccine.html","Not applicable","Not applicable","Federal","No",2021-03-26
"64","CAN326","Can.","2021-03-26",2021-03-26,"Public information","Public information — projections","Who: Public Health Agency of Canada
What: Updated projections for cases and critical care cases
Effective until:","https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/coronavirus-disease-covid-19/epidemiological-economic-research-data/update-covid-19-canada-epidemiology-modelling-20210326-en.pdf","Not applicable","Not applicable","Federal","No",2021-03-26
"65","CAN286","Can.","2021-03-29",2021-03-29,"Vaccine","Vaccine — regulatory approval","Who: National Advisory Committee on Immunization
What: Recommended immediate pause in the use of the AstraZeneca vaccine in Canada for those under 55; product monograph to be updated to provide information on very rare reports of blood clots associated with low levels of blood platelets
Effective until: ","https://www.canada.ca/en/public-health/news/2021/03/use-of-astrazeneca-covid-19-vaccine.html","Not applicable","Not applicable","Federal","No",2021-03-29
"66","CAN287","Can.","2021-03-30",2021-03-30,"Financial and economic","Financial and economic — assistance","Who: Canadian Northern Economic Development Agency
What: Announced $143,000 in funding for Pauktuutit Inuit Women of Canada, which supports women entrepreneurs across Inuit Nunangat, to navigate the crisis and continue to grow their business
Effective until: ","https://www.canada.ca/en/northern-economic-development/news/2021/03/government-of-canada-supports-recovery-and-growth-of-women-led-businesses-across-inuit-nunangat-amid-covid-19-pandemic.html","Not applicable","Not applicable","Provincial/territorial","Yes",2021-03-30
"67","CAN285","Can.","2021-03-29",2021-04-01,"Case management","Case management — self-isolation","Who: Public Health Agency of Canada
What: Announced $1.5 million for a Safe Voluntary Isolation Site for Thunder Bay and surrounding communities
Effective until: ","https://www.canada.ca/en/public-health/news/2021/03/government-of-canada-announces-continued-funding-for-the-covid-19-isolation-shelter-in-thunder-bay-ontario.html","Not applicable","Not applicable","Regional","No",2021-04-01
"68","CAN288","Can.","2021-03-30",2021-04-01,"Case management","Case management — other","Who: Public Health Agency of Canada
What: Announced $17.8 million for a Safe Voluntary Isolation Site for temporary foreign agri-workers in Windsor-Essex
Effective until: ","https://www.canada.ca/en/public-health/news/2021/03/government-of-canada-announces-funding-for-continued-support-for-the-covid-19-agri-worker-isolation-and-recovery-centre-in-windsor-ontario.html","Not applicable","Not applicable","Regional","No",2021-04-01
"69","CAN368","Can.","2020-12-23",2021-04-01,"Health workforce","Health workforce — supply management ","Who: Government of Canada                             What: Announced $70 million funding to the Canadian Red Cross to build and maintain capacity to support deployment for crisis management activities and for COVID-19 testing-related activities
Effective until:","https://www.canada.ca/en/public-safety-canada/news/2020/12/government-of-canada-provides-70-million-in-additional-funding-to-the-red-cross-for-ongoing-covid-19-response.html","Not applicable","Not applicable","Federal","No",2021-04-01
"70","CAN317","Can.","2021-04-12",2021-04-12,"Case management","Case management — other","Who: Health Canada
What: Announced investment in StaySafe rapid screening program in Waterloo region; 3 COVID-19 rapid screening buses will provide free testing for various workplaces
Effective until: ","https://www.canada.ca/en/health-canada/news/2021/04/government-of-canada-invests-in-staysafe-rapid-screening-program-in-waterloo-region.html","Not applicable","Not applicable","Regional","No",2021-04-12
"71","CAN291","Can.","2021-04-16",2021-04-16,"Case management","Case management — self-isolation","Who: Public Health Agency of Canada
What: Announced $11.6 million for a Safe Voluntary Isolation site in Saskatchewan
Effective until: ","https://www.canada.ca/en/public-health/news/2021/04/government-of-canada-announces-funding-for-new-covid-19-safe-voluntary-isolation-sites-in-saskatchewan.html","Not applicable","Not applicable","Provincial/territorial","No",2021-04-16
"72","CAN292","Can.","2021-04-17",2021-04-17,"Health services","Health services — other","Who: Public Safety Canada
What: Provided a 2-month extension on the 2 federal Mobile Health Units provided to Ontario in 2021-01
Effective until: 2021-06-30","https://www.canada.ca/en/public-safety-canada/news/2021/04/government-of-canada-assists-ontario-with-covid-19-response-through-extension-of-mobile-health-units.html","Not applicable","Not applicable","Provincial/territorial","No",2021-04-17
"73","CAN293","Can.","2021-04-18",2021-04-18,"Health services","Health services — equipment","Who: Prime Minister
What: Deployed essential biomedical equipment, including Cardiohelp systems, AirVo oxygen units, high-flow nasal oxygen devices and extracorporeal membrane oxygenation machines to support Ontario's health care system
Effective until: ","https://pm.gc.ca/en/news/news-releases/2021/04/18/additional-support-ontario-fight-covid-19-outbreak","Not applicable","Not applicable","Provincial/territorial","No",2021-04-18
"74","CAN319","Can.","2021-04-19",2021-04-19,"Financial and economic","Financial and economic — research and development","Who: Government of Canada
What: Released 2021 Budget ""A Recovery Plan for Jobs, Growth, and Resilience,"" which includes projected funding over the coming years regarding the end of the pandemic and recovery post-pandemic
Effective until: ","https://www.budget.gc.ca/2021/pdf/budget-2021-en.pdf","Not applicable","Not applicable","Federal","No",2021-04-19
"75","CAN309","Can.","2021-04-21",2021-04-21,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Extended the temporary travel restrictions for US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-05-21","https://orders-in-council.canada.ca/attachment.php?attach=40498&lang=en","Not applicable","Tightening","Federal","No",2021-04-21
"76","CAN310","Can.","2021-04-21",2021-04-21,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Extended the temporary travel restrictions for all non-US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-05-21","https://orders-in-council.canada.ca/attachment.php?attach=40497&lang=en","Not applicable","Tightening","Federal","No",2021-04-21
"77","CAN297","Can.","2021-04-23",2021-04-22,"Travel","Travel — restrictions","Who: Prime Minister
What: Suspended all direct passenger flights from Pakistan and India entering Canada for 30 days. Also, passengers departing from India or Pakistan who arrive to Canada via indirect routes will need to obtain a negative COVID-19 pre-departure test from the last country they travelled through before arriving in Canada. These measures are in addition to the enhanced measures already in place.
Effective until: 2021-05-21","https://pm.gc.ca/en/news/speeches/2021/04/23/prime-ministers-remarks-updating-canadians-covid-19-situation-new-travel","Not applicable","Tightening","Federal","No",2021-04-22
"78","CAN327","Can.","2021-04-23",2021-04-23,"Public information","Public information — projections","Who: Public Health Agency of Canada
What: Updated projections for cases and critical care cases
Effective until:","https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/coronavirus-disease-covid-19/epidemiological-economic-research-data/update-covid-19-canada-epidemiology-modelling-20210326-en.pdf","Not applicable","Not applicable","Federal","No",2021-04-23
"79","CAN320","Can.","2021-04-26",2021-04-26,"Health workforce","Health workforce — supply management ","Who: Government of Canada
What: Announced the deployment of federal health human resources, support from the Canadian Armed Forces (CAF) and funding for the redeployment of the Canadian Red Cross to augment or relieve staff within medical care facilities in Ontario; in addition, the CAF will airlift medical personnel from Newfoundland and Labrador and possibly other jurisdictions to Ontario
Effective until: ","https://www.canada.ca/en/public-safety-canada/news/2021/04/government-of-canada-assists-ontario-with-covid-19-response.html","Not applicable","Not applicable","Federal","No",2021-04-26
"80","CAN296","Can.","2021-04-26",2021-04-28,"Case management","Case management — test criteria","Who: Public Services and Procurement Canada
What: Signed an agreement with Dynacare to provide temporary foreign workers arriving at Montréal-Trudeau International Airport services for appointment booking, test administration and results management, including mobile services for on-site specimen collection for the 2nd test required on the 8th day of quarantine
Effective until: ","https://www.canada.ca/en/public-services-procurement/news/2021/04/government-of-canada-signs-new-agreement-for-covid-19-testing-of-temporary-foreign-workers-entering-quebec.html","Not applicable","Not applicable","Provincial/territorial","No",2021-04-28
"81","CAN300","Can.","2021-04-27",2021-04-28,"Health workforce","Health workforce — supply management ","Who: Prime Minister
What: Deployed 60 Canadian Armed Forces members to testing centres in Nova Scotia to assist as cases rise 
Effective until: ","https://pm.gc.ca/en/news/speeches/2021/04/27/prime-ministers-remarks-covid-19-situation-and-budget-2021-plan-feminist","Not applicable","Not applicable","Provincial/territorial","No",2021-04-28
"82","CAN306","Can.","2021-05-03",2021-05-03,"Vaccine","Vaccine — regulatory approval","Who: National Advisory Committee on Immunization
What: Recommended that the Janssen COVID-19 vaccine be offered to individuals 30 and older without contraindications
Effective until: ","https://www.canada.ca/en/public-health/services/immunization/national-advisory-committee-on-immunization-naci/recommendations-use-covid-19-vaccines/summary-updated-statement-may-3-2021.html","Not applicable","Not applicable","Federal","No",2021-05-03
"83","CAN303","Can.","2021-05-05",2021-05-05,"Vaccine","Vaccine — regulatory approval","Who: Health Canada
What: Authorized the use of the Pfizer-BioNTech COVID-19 vaccine in children 12 to 15
Effective until: ","https://www.canada.ca/en/health-canada/news/2021/05/health-canada-authorizes-use-of-the-pfizer-biontech-covid-19-vaccine-in-children-12-to-15-years-of-age.html","Not applicable","Not applicable","Federal","No",2021-05-05
"84","CAN308","Can.","2021-05-19",2021-05-10,"Health workforce","Health workforce — supply management ","Who: Indigenous Services Canada
What: Activated Canadian Rangers and the Canadian Armed Forces in the Moose Cree First Nation and the Neskantaga First Nation to provide assistance with COVID-19 response efforts in the communities
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2021/05/government-of-canada-covid-19-update-for-indigenous-peoples-and-communities1.html","Not applicable","Not applicable","Federal","Yes",2021-05-10
"85","CAN304","Can.","2021-05-11",2021-05-11,"Financial and economic","Financial and economic — assistance","Who: Indigenous Services Canada
What: Announced that the Government of Canada is providing more than $19 million in additional and immediate support to the Government of Nunavut and Nunavut Tunngavik Incorporated through a combination of new and expanded federal transfers or in-kind spending
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2021/05/government-of-canada-to-provide-support-to-communities-in-nunavut-to-address-the-covid-19-pandemic.html","Not applicable","Not applicable","Provincial/territorial","Yes",2021-05-11
"86","CAN323","Can.","2021-05-12",2021-05-12,"Health workforce","Health workforce — supply management ","Who: Government of Canada, Employment and Social Development Canada
What: Announced $2.3 million to help internationally trained nurses get certified and find jobs
Effective until: ","https://www.canada.ca/en/employment-social-development/news/2021/05/national-nurses-work--international-nurses-day-2021.html","Not applicable","Not applicable","Federal","No",2021-05-12
"87","CAN305","Can.","2021-05-17",2021-05-17,"Public information","Public information — launch of webpage/resource","Who: Public Health Agency of Canada
What: Launched new campaign to encourage vaccine uptake through television, radio, print, out-of-home and online
Effective until: ","https://www.canada.ca/en/public-health/news/2021/05/government-of-canada-launches-new-ripple-effect-advertising-campaign-to-encourage-covid-19-vaccination.html","Not applicable","Not applicable","Federal","No",2021-05-17
"88","CAN311","Can.","2021-05-21",2021-05-21,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Extended the temporary travel restrictions for all US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-06-21","https://orders-in-council.canada.ca/attachment.php?attach=40640&lang=en","Not applicable","Tightening","Federal","No",2021-05-21
"89","CAN312","Can.","2021-05-21",2021-05-21,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Extended the temporary travel restrictions for all non-US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-06-21","https://orders-in-council.canada.ca/attachment.php?attach=40641&lang=en","Not applicable","Tightening","Federal","No",2021-05-21
"90","CAN314","Can.","2021-05-24",2021-05-24,"Health workforce","Health workforce — supply management ","Who: Public Safety Canada
What: Deployed federal health human resources and medical staff through the Canadian Red Cross and the Canadian Armed Forces to support the pandemic response in Manitoba 
Effective until: ","https://www.canada.ca/en/public-safety-canada/news/2021/05/government-of-canada-assists-manitoba-covid-19-response.html","Not applicable","Not applicable","Provincial/territorial","No",2021-05-24
"91","CAN329","Can.","2021-05-26",2021-05-26,"Case management","Case management — self-isolation","Who: Public Health Agency of Canada
What: Announced $4.2 million to operate safe voluntary isolation sites in Nova Scotia
Effective until:","https://www.canada.ca/en/public-health/news/2021/05/government-of-canada-announces-funding-for-covid-19-safe-voluntary-isolation-sites-in-nova-scotia.html","Not applicable","Not applicable","Provincial/territorial","No",2021-05-26
"92","CAN330","Can.","2021-05-27",2021-05-27,"Health services","Health services — other","Who: Infrastructure Canada
What: Invested over $11.4 million in projects to support health care and long-term care infrastructure projects throughout Nova Scotia as part of the COVID-19 Resilience Stream of the Investing in Canada Infrastructure 
Effective until:","https://www.canada.ca/en/office-infrastructure/news/2021/05/backgrounder-canada-and-nova-scotia-invest-in-healthcare-and-long-term-care-facilities-to-respond-to-the-impacts-of-covid-19.html","Not applicable","Not applicable","Provincial/territorial","No",2021-05-27
"93","CAN332","Can.","2021-05-29",2021-05-29,"Vaccine","Vaccine — regulatory approval","Who: Health Canada
What: Approved an extension to 2 lots (MT0055 and MT0056) of the AstraZeneca COVID-19 vaccine expiry dates, from 2021-05-31 to 2021-07-01 to allow provinces and territories to use up their existing inventory
Effective until: ","https://www.canada.ca/en/health-canada/news/2021/05/health-canada-extends-expiry-date-of-two-lots-of-the-astrazeneca-vaccine-by-an-extra-month.html","Not applicable","Not applicable","Federal","No",2021-05-29
"94","CAN348","Can.","2021-06-01",2021-06-01,"Health workforce","Health workforce — supply management","Who: Government of Canada
What: Announced Canadian Red Cross support to Nunavut at the Mary River Mine on Baffin Island for contact tracing in response to a COVID-19 variant outbreak
Effective until: ","https://www.redcross.ca/in-your-community/nunavut/how-red-cross-is-responding-to-covid-19-in-nunavut","Not applicable","Not applicable","Provincial/territorial","No",2021-06-01
"95","CAN328","Can.","2021-06-02",2021-06-02,"Vaccine","Vaccine — regulatory approval","Who: Public Health Agency of Canada, National Advisory Committee on Immunization
What: Updated guidance on mixed vaccine procedures: now allows a person who received a 1st dose of a viral vector vaccine (e.g., AstraZeneca) to choose to receive a 2nd dose of either a viral vector vaccine or an mRNA vaccine
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/statement-from-the-council-of-chief-medical-officers-of-health-ccmoh-interchangeability-of-authorized-covid-19-vaccines.html","https://www.canada.ca/en/public-health/services/immunization/national-advisory-committee-on-immunization-naci/recommendations-use-covid-19-vaccines/rapid-response-interchangeability.html","Not applicable","Federal","No",2021-06-02
"96","CAN333","Can.","2021-06-02",2021-06-02,"Financial and economic","Financial and economic — assistance","Who: Department of Finance Canada
What: Extended the Canada Emergency Wage Subsidy for an additional 3 months
Effective until: ","https://www.canada.ca/en/department-finance/news/2021/06/extending-business-support-measures-through-the-pandemic.html","Not applicable","Not applicable","Federal","No",2021-06-02
"97","CAN345","Can.","2021-06-07",2021-06-07,"Financial and economic","Financial and economic — research and development","Who: Public Health Agency of Canada
What: Announced $25,000 awarded to 20 finalists participating in the Vaccine Community Innovation Challenge to develop and launch their projects to increase people's confidence in COVID-19 vaccines and reinforce public health measures in their communities
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/projects-selected-under-the-vaccine-community-innovation-challenge-to-help-promote-vaccine-confidence.html","Not applicable","Not applicable","Federal","No",2021-06-07
"98","CAN334","Can.","2021-06-08",2021-06-08,"Financial and economic","Financial and economic — research and development","Who: Public Health Agency of Canada
What: Announced the funding of 5 projects (4 provincial and 1 national) through the Immunization Partnership Fund to support vaccination uptake among populations disproportionately impacted by COVID-19 across Canada by increasing COVID-19 vaccine knowledge and access
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/government-of-canada-funds-five-new-projects-to-encourage-vaccine-uptake-in-canada.html","Not applicable","Not applicable","Federal","No",2021-06-08
"99","CAN335","Can.","2021-06-10",2021-06-10,"Financial and economic","Financial and economic — assistance","Who: Infrastructure Canada
What: Invested over $6.3 million in projects to support upgrades to 4 public facilities in eastern Prince Edward Island as part of the COVID-19 Resilience Infrastructure stream of the Investing in Canada Infrastructure program
Effective until:","https://www.canada.ca/en/office-infrastructure/news/2021/06/backgrounder-canada-and-prince-edward-island-invest-in-four-public-facilities-to-help-reduce-the-impacts-of-covid-19-in-eastern-pei.html","Not applicable","Not applicable","Regional","No",2021-06-10
"100","CAN336","Can.","2021-06-10",2021-06-10,"Case management","Case management — self-isolation","Who: Public Health Agency of Canada
What: Announced $731,810 in funding to the Simcoe Muskoka District Health Unit to operate safe voluntary isolation sites in Barrie, Ontario, and surrounding communities
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/government-of-canada-announces-funding-for-covid-19-safe-voluntary-isolation-sites-in-barrie-ontario.html","Not applicable","Not applicable","Regional","No",2021-06-10
"101","CAN349","Can.","2021-06-11",2021-06-11,"Health workforce","Health workforce — supply management","Who: Government of Canada
What: Announced $9.3 million to support distress centres across Canada during the pandemic, including to support recruiting and training; this is part of a $50 million investment announced earlier during the COVID-19 pandemic 
Effective until: ","https://www.canada.ca/en/public-health/news/2021/06/government-of-canada-invests-millions-into-mental-health-and-distress-centres.html","Not applicable","Not applicable","Provincial/territorial","No",2021-06-11
"102","CAN337","Can.","2021-06-15",2021-06-15,"Public information","Public information — launch of webpage/resource","Who: Public Health Agency of Canada 
What: Launched the ""Ask the Experts"" campaign series that features short videos of trusted experts answering common questions about COVID-19 vaccines
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/government-of-canada-launches-ask-the-experts-campaign-to-encourage-vaccine-uptake.html","Not applicable","Not applicable","Federal","No",2021-06-15
"103","CAN338","Can.","2021-06-21",2021-06-21,"Travel","Travel — restrictions","Who: Immigration, Refugees and Citizenship Canada
What: Announced that any foreign national who holds a valid Confirmation of Permanent Residence is allowed to travel to Canada; travellers must still follow all requirement checklists for entering the country
Effective until:","https://www.canada.ca/en/immigration-refugees-citizenship/news/2021/06/individuals-approved-for-permanent-residence-may-travel-to-canada-as-of-june-21.html","Not applicable","Easing","Federal","No",2021-06-21
"104","CAN342","Can.","2021-06-21",2021-06-21,"Travel","Travel — restrictions","Who: Government of Canada
What: Extended the temporary travel restrictions for all non-US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-07-21","https://orders-in-council.canada.ca/attachment.php?attach=40874&lang=en","Not applicable","Not applicable","Federal","No",2021-06-21
"105","CAN343","Can.","2021-06-21",2021-06-21,"Travel","Travel — restrictions","Who: Government of Canada
What: Extended the temporary travel restrictions for all US travellers, unless their travel is for non-discretionary reasons 
Effective until: 2021-07-21","https://orders-in-council.canada.ca/attachment.php?attach=40873&lang=en","Not applicable","Not applicable","Federal","No",2021-06-21
"106","CAN340","Can.","2021-06-24",2021-06-24,"Public information","Public information — launch of webpage/resource","Who: Public Health Agency of Canada
What: Allocated funding to the Dr. Peter Centre to develop a bilingual national community of practice to help community health agencies improve uptake and access to COVID-19 vaccines for people living with HIV and other complex health and social conditions through the creation of an online portal of resources
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/government-of-canada-funds-new-project-to-encourage-vaccine-uptake-in-canada.html","Not applicable","Not applicable","Federal","No",2021-06-24
"107","CAN344","Can.","2021-06-30",2021-06-30,"Financial and economic","Financial and economic — research and development","Who: Public Health Agency of Canada
What: Announced the funding of 4 projects through the Immunization Partnership Fund to support vaccination uptake among populations disproportionately impacted by COVID-19 through targeted outreach and culturally relevant interventions
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/government-of-canada-funds-four-new-projects-to-encourage-covid-19-vaccination-in-canada.html","Not applicable","Not applicable","Federal","No",2021-06-30
"108","CAN339","Can.","2021-06-21",2021-07-05,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Announced the easing of travel restrictions for fully vaccinated travellers who fall under the ""eligible to enter"" categories; in addition, all travellers required to disclose vaccination status information in the ArriveCAN app 
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/backgrounder-phase-1-of-easing-border-measures-for-travellers-entering-canada.html","https://www.canada.ca/en/public-health/news/2021/06/government-of-canadas-first-phase-to-easing-border-measures-for-travellers-entering-canada3.html","Easing","Federal","No",2021-07-05
"109","CAN346","Can.","2021-06-21",2021-07-05,"Travel","Travel — self-isolation","Who: Public Health Agency of Canada
What: Eased travel restrictions for fully vaccinated travellers who fall under the ""eligible to enter"" categories; those permitted to enter no longer required to quarantine or take a COVID-19 test on day 8
Effective until:","https://www.canada.ca/en/public-health/news/2021/06/backgrounder-phase-1-of-easing-border-measures-for-travellers-entering-canada.html","https://www.canada.ca/en/public-health/news/2021/06/government-of-canadas-first-phase-to-easing-border-measures-for-travellers-entering-canada3.html","Easing","Federal","No",2021-07-05
"110","CAN341","Can.","2021-07-10",2021-07-10,"Health services","Health services — other","Who: Public Safety Canada
What: Approved federal assistance to the Government of Yukon due to the outbreaks in Whitehorse and other communities; Public Safety Canada, Public Health Agency of Canada, Health Canada and Indigenous Services Canada are working with the Government of Yukon to send more public health professionals to help with coordination, contact tracing and social supports, as well as to ship laboratory equipment and personal protective equipment
Effective until:","https://www.canada.ca/en/public-safety-canada/news/2021/07/yukon-to-receive-federal-assistance-for-support-with-covid-19-efforts.html","Not applicable","Not applicable","Provincial/territorial","Yes",2021-07-10
"111","CAN347","Can.","2021-07-10",2021-07-10,"Health workforce","Health workforce — supply management","Who: Public Safety Canada, Public Health Agency of Canada, Health Canada, Indigenous Services Canada
What: Announced federal support to Yukon by offering to send health and social services professionals to support the territory's COVID-19 efforts
Effective until: ","https://www.canada.ca/en/public-safety-canada/news/2021/07/yukon-to-receive-federal-assistance-for-support-with-covid-19-efforts.html ","Not applicable","Not applicable","Provincial/territorial","Yes",2021-07-10
"112","CAN351","Can.","2021-07-27",2021-07-27,"Financial and economic","Financial and economic — research and development","Who: Public Health Agency of Canada
What: Announced the funding of 2 projects to encourage COVID-19 vaccination in youth through the Immunization Partnership Fund to promote the importance of vaccinating for youth age 12 and older
Effective until: ","https://www.canada.ca/en/public-health/news/2021/07/government-of-canada-funds-two-new-projects-to-encourage-covid-19-vaccination-in-youth.html","Not applicable","Not applicable","Federal","No",2021-07-27
"113","CAN374","Can.","2021-07-27",2021-07-27,"Vaccine","Vaccine — phase changes and milestones","Who: Office of the Prime Minister
What: Received more than 66 million doses of the COVID-19 vaccine, enough to fully vaccinate every eligible Canadian—2 months ahead of schedule
Effective until: ","https://pm.gc.ca/en/news/news-releases/2021/07/27/canada-reaches-major-vaccine-campaign-milestone","Not applicable","Not applicable","Federal","No",2021-07-27
"114","CAN352","Can.","2021-07-30",2021-07-30,"Financial and economic","Financial and economic — assistance","Who: Office of the Deputy Prime Minister
What: Extended the eligibility period for the Canada Emergency Wage Subsidy, the Canada Emergency Rent Subsidy and Lockdown Support and increased the amount of support that can be received during the period between 2021-08-23 and 2021-09025
Effective until: 2021-10-23","https://deputypm.canada.ca/en/news/news-releases/2021/07/30/government-extends-covid-19-benefits-and-business-supports-support","Not applicable","Not applicable","Federal","No",2021-07-30
"115","CAN372","Can.","2021-08-06",2021-08-06,"Health workforce","Health workforce — supply management ","Who: Government of Canada                                 What: Announced $15 million funding for Newfoundland and Labrador's long-term care sector to enhance infection prevention and control measures including an increase in human resources capacity and safety
Effective until:","https://www.canada.ca/en/health-canada/news/2021/08/government-of-canada-invests-15-million-to-support-canadians-living-in-long-term-care-in-newfoundland-and-labrador.html","Not applicable","Not applicable","Provincial/territorial","No",2021-08-06
"116","CAN353","Can.","2021-08-09",2021-08-09,"Travel","Travel — restrictions","Who: Transport Canada
What: Extended the Notice to Airmen that restricts all direct commercial and private passenger flights to Canada from India
Effective until: 2021-09-21","https://www.canada.ca/en/transport-canada/news/2021/08/transport-canada-extending-restrictions-on-direct-flights-from-india-until-september-21-2021.html","Not applicable","Not applicable","Federal","No",2021-08-09
"117","CAN354","Can.","2021-08-10",2021-08-10,"Financial and economic","Financial and economic — research and development","Who: Innovation, Science and Economic Development Canada
What: Announced an agreement with Moderna to build mRNA vaccine facility in Canada to support the development of vaccines for the current and future pandemics
Effective until: ","https://www.canada.ca/en/innovation-science-economic-development/news/2021/08/government-of-canada-announces-agreement-with-leading-covid-19-vaccine-developer-moderna-inc-to-build-mrna-vaccine-facility-in-canada.html","Not applicable","Not applicable","Federal","No",2021-08-10
"118","CAN355","Can.","2021-08-12",2021-08-12,"Financial and economic","Financial and economic — research and development","Who: Public Health Agency of Canada
What: Announced funding for research on possible adverse events following the COVID-19 vaccine
Effective until: ","https://www.canada.ca/en/public-health/news/2021/08/government-of-canada-funds-research-on-responding-to-possible-adverse-events-following-covid-19-vaccination0.html","Not applicable","Not applicable","Federal","No",2021-08-12
"119","CAN370","Can.","2021-08-12",2021-08-12,"Health workforce","Health workforce — supply management ","Who: Government of Canada                        What: Announced $6 million funding for P.E.I.'s long-term care sector to enhance education and training for staff and support improvement of infection prevention and control measures         Effective until:","https://www.canada.ca/en/health-canada/news/2021/08/government-of-canada-invests-more-than-6-million-to-support-canadians-living-and-working-in-long-term-care-in-prince-edward-island.html","Not applicable","Not applicable","Provincial/territorial","No",2021-08-12
"120","CAN371","Can.","2021-08-12",2021-08-12,"Health workforce","Health workforce — supply management ","Who: Government of Canada                         What: Announced $3.1 million funding for the Northwest Territories long-term care sector to support initiatives such as purchase of mobile equipment and hiring practical nurses and aides to meet increased needs due to COVID-19             Effective until:","https://www.canada.ca/en/health-canada/news/2021/08/government-of-canada-invests-more-than-31-million-to-support-canadians-living-and-working-in-long-term-care-in-the-northwest-territories.html","Not applicable","Not applicable","Provincial/territorial","No",2021-08-12
"121","CAN356","Can.","2021-08-13",2021-08-13,"Health services","Health services — other","Who: Transport Canada
What: Announced funding for Canada's major airports to increase testing and screening infrastructure for COVID-19 to aid in the restart of air travel 
Effective until: ","https://www.canada.ca/en/transport-canada/news/2021/08/government-of-canada-supporting-canadas-major-airports-with-funding-for-covid-19-testing-and-screening-infrastructure.html","Not applicable","Not applicable","Federal","No",2021-08-13
"122","CAN357","Can.","2021-08-13",2021-08-13,"Case management","Case management — self-isolation","Who: Public Health Agency of Canada
What: Approved funding for COVID-19 safe voluntary isolation sites in Ontario to help people who have COVID-19 have access to safe isolation accommodations
Effective until: ","https://www.canada.ca/en/public-health/news/2021/08/government-of-canada-announces-funding-for-covid-19-safe-voluntary-isolation-sites-in-ontario.html","Not applicable","Not applicable","Provincial/territorial","No",2021-08-13
"123","CAN358","Can.","2021-08-13",2021-08-13,"Vaccine","Vaccine — purchasing and allocation","Who: Public Services and Procurement Canada
What: Entered an agreement with Moderna for additional COVID-19 vaccines for 2022 and 2023, with an option to extend into 2024; agreement provides access to 40 million doses with up to 65 million more if all options are exercised
Effective until: ","https://www.canada.ca/en/public-services-procurement/news/2021/08/government-of-canada-negotiates-additional-agreement-with-moderna-for-vaccine-supply-beyond-2021.html","Not applicable","Not applicable","Federal","No",2021-08-13
"124","CAN363","Can.","2021-08-13",2021-08-13,"Vaccine","Vaccine — vaccination status","Who: Treasury Board of Canada
What: Announced the requirement of vaccination for workers across the federal public service 
Effective until: ","https://www.canada.ca/en/treasury-board-secretariat/news/2021/08/government-of-canada-to-require-vaccination-of-federal-workforce-and-federally-regulated-transportation-sector.html","Not applicable","Not applicable","Federal","No",2021-08-13
"125","CAN369","Can.","2021-08-13",2021-08-13,"Health workforce","Health workforce — supply management ","Who: Government of Canada                        What: Announced $3 million funding for Yukon's long-term care sector to support hiring new staff and ensuring adequate supply of personal protective equipment
Effective until:","https://www.canada.ca/en/health-canada/news/2021/08/government-of-canada-invests-over-3-million-to-support-canadians-living-and-working-in-long-term-care-in-yukon.html","Not applicable","Not applicable","Provincial/territorial","No",2021-08-13
